 SUMMARY FOR UNIT  72
 Time                      F1温度                    F2温度                    F3温度                    F4温度                    室外温度
  0.7800000000000000E+0002  0.2049970030447350E+0002  0.2196250812404799E+0002  0.2198514810301769E+0002  0.2213944502893757E+0002  0.1625000000000000E+0002
  0.7900000000000000E+0002  0.2045250172956536E+0002  0.2190506456357070E+0002  0.2192966424969875E+0002  0.2208274997569607E+0002  0.1650000000000000E+0002
  0.8000000000000000E+0002  0.2042698830956075E+0002  0.2187354894927724E+0002  0.2189826901986194E+0002  0.2205197158661985E+0002  0.1600000000000000E+0002
  0.8100000000000000E+0002  0.2089493449432756E+0002  0.2218575887883256E+0002  0.2220429358742169E+0002  0.2236571163026822E+0002  0.1750000000000000E+0002
  0.8200000000000000E+0002  0.2159604614790880E+0002  0.2265418847673908E+0002  0.2267036033369712E+0002  0.2283940091779561E+0002  0.2000000000000000E+0002
  0.8300000000000000E+0002  0.2203137984153915E+0002  0.2295322824941479E+0002  0.2296375255100636E+0002  0.2314955842578472E+0002  0.2125000000000000E+0002
  0.8400000000000000E+0002  0.2235366297104435E+0002  0.2318503850176370E+0002  0.2318520462082453E+0002  0.2339598557060684E+0002  0.2125000000000000E+0002
  0.8500000000000000E+0002  0.2287332243014681E+0002  0.2354792497096481E+0002  0.2354236087799660E+0002  0.2377237038500030E+0002  0.2150000000000000E+0002
  0.8600000000000000E+0002  0.2350975867149699E+0002  0.2425911001953724E+0002  0.2425322985186033E+0002  0.2449258343623984E+0002  0.2300000000000000E+0002
  0.8700000000000000E+0002  0.2430796923043348E+0002  0.2531296678304481E+0002  0.2530770938632988E+0002  0.2555160993030557E+0002  0.2300000000000000E+0002
  0.8800000000000000E+0002  0.2471490405415996E+0002  0.2601025670514142E+0002  0.2599544306342487E+0002  0.2625051569015532E+0002  0.2100000000000000E+0002
  0.8900000000000000E+0002  0.2441482573498950E+0002  0.2585539692297873E+0002  0.2582438665537234E+0002  0.2609413063609123E+0002  0.2085000000000000E+0002
  0.9000000000000000E+0002  0.2370169704615001E+0002  0.2503308877233732E+0002  0.2499442068408224E+0002  0.2526902909791340E+0002  0.2085000000000000E+0002
  0.9100000000000000E+0002  0.2306441882050544E+0002  0.2435625963974065E+0002  0.2432503949274974E+0002  0.2458930671673918E+0002  0.2000000000000000E+0002
  0.9200000000000000E+0002  0.2282104291677473E+0002  0.2408528190512273E+0002  0.2407250893156816E+0002  0.2431651293089221E+0002  0.1950000000000000E+0002
  0.9300000000000000E+0002  0.2257470788220879E+0002  0.2382220698691032E+0002  0.2382880073502156E+0002  0.2405257960626203E+0002  0.1900000000000000E+0002
  0.9400000000000000E+0002  0.2242825666671609E+0002  0.2366672664430748E+0002  0.2368288022535205E+0002  0.2389680131455192E+0002  0.1900000000000000E+0002
  0.9500000000000000E+0002  0.2228408699529918E+0002  0.2352684299669846E+0002  0.2354765445665356E+0002  0.2375688698634244E+0002  0.1875000000000000E+0002
  0.9600000000000000E+0002  0.2213846057159032E+0002  0.2339684574628676E+0002  0.2342004976876498E+0002  0.2362697238093262E+0002  0.1875000000000000E+0002
  0.9700000000000000E+0002  0.2205038897293850E+0002  0.2330486165906770E+0002  0.2333032726966669E+0002  0.2353511821269514E+0002  0.1900000000000000E+0002
  0.9800000000000000E+0002  0.2193523229708649E+0002  0.2320176105847971E+0002  0.2322879109481592E+0002  0.2343215599888693E+0002  0.1860000000000000E+0002
  0.9900000000000000E+0002  0.2181680542176086E+0002  0.2309935258535080E+0002  0.2312682639551990E+0002  0.2332989562416592E+0002  0.1860000000000000E+0002
  0.1000000000000000E+0003  0.2177915016616485E+0002  0.2304576248981903E+0002  0.2307527132841129E+0002  0.2327644428101980E+0002  0.1900000000000000E+0002
  0.1010000000000000E+0003  0.2168771575482392E+0002  0.2296346369236695E+0002  0.2299420791986288E+0002  0.2319425860494889E+0002  0.1825000000000000E+0002
  0.1020000000000000E+0003  0.2158403715240783E+0002  0.2287558253008632E+0002  0.2290614621520350E+0002  0.2310648302524567E+0002  0.1825000000000000E+0002
  0.1030000000000000E+0003  0.2155427465604388E+0002  0.2283090703457508E+0002  0.2286319586569691E+0002  0.2306190042484693E+0002  0.1900000000000000E+0002
  0.1040000000000000E+0003  0.2155324729892581E+0002  0.2281609986792132E+0002  0.2284882957786510E+0002  0.2304719451089618E+0002  0.1830000000000000E+0002
  0.1050000000000000E+0003  0.2201413243943266E+0002  0.2312821799445588E+0002  0.2315401714936337E+0002  0.2336016999151664E+0002  0.1930000000000000E+0002
