 SUMMARY FOR UNIT  76
 Time                      F1相对湿度                F2相对湿度                F3相对湿度                F4相对湿度                室外相对湿度
  0.1340000000000000E+0003  0.4760092870929725E+0002  0.5194156005884641E+0002  0.4623490090191473E+0002  0.5100845083875048E+0002  0.5350000000000000E+0002
  0.1350000000000000E+0003  0.4632674784349337E+0002  0.5020821008319800E+0002  0.4468382331641633E+0002  0.4930529370157014E+0002  0.5350000000000000E+0002
  0.1360000000000000E+0003  0.4534377908264428E+0002  0.4873640871098213E+0002  0.4336962173414204E+0002  0.4786898496718439E+0002  0.5000000000000000E+0002
  0.1370000000000000E+0003  0.4599470038203466E+0002  0.4854512164732988E+0002  0.4319664543155844E+0002  0.4769217209865927E+0002  0.5850000000000000E+0002
  0.1380000000000000E+0003  0.4799938587322534E+0002  0.5065217907849342E+0002  0.4507435005635065E+0002  0.4976703690895656E+0002  0.7000000000000000E+0002
  0.1390000000000000E+0003  0.5006312370706723E+0002  0.5296428622465233E+0002  0.4711374051173799E+0002  0.5204375113147469E+0002  0.7550000000000000E+0002
  0.1400000000000000E+0003  0.5108435030003294E+0002  0.5401305906398367E+0002  0.4798483128496576E+0002  0.5308071667469170E+0002  0.7800000000000000E+0002
  0.1410000000000000E+0003  0.5185575759483810E+0002  0.5487943083973719E+0002  0.4870173094442056E+0002  0.5393694145280775E+0002  0.7550000000000000E+0002
  0.1420000000000000E+0003  0.5231421689898342E+0002  0.5536468566902256E+0002  0.4911188582923425E+0002  0.5441824928304874E+0002  0.7550000000000000E+0002
  0.1430000000000000E+0003  0.5298650863135960E+0002  0.5596843268777404E+0002  0.4963576521760567E+0002  0.5501518262674266E+0002  0.8150000000000000E+0002
  0.1440000000000000E+0003  0.5351464537483564E+0002  0.5644026227966592E+0002  0.5005157806130015E+0002  0.5548242698450267E+0002  0.8150000000000000E+0002
  0.1450000000000000E+0003  0.5389309515502742E+0002  0.5681897106153002E+0002  0.5037923943323165E+0002  0.5585817740840948E+0002  0.8050000000000000E+0002
  0.1460000000000000E+0003  0.5435082979509016E+0002  0.5722540883835990E+0002  0.5073730694665743E+0002  0.5626107848718912E+0002  0.8200000000000000E+0002
  0.1470000000000000E+0003  0.5473376135040363E+0002  0.5758240256905357E+0002  0.5105117778371127E+0002  0.5661542147636741E+0002  0.8200000000000000E+0002
  0.1480000000000000E+0003  0.5509968741970555E+0002  0.5792170648216217E+0002  0.5134908540942805E+0002  0.5695236781353760E+0002  0.8300000000000000E+0002
  0.1490000000000000E+0003  0.5556725422890248E+0002  0.5831852341804215E+0002  0.5170033216823392E+0002  0.5734567831461500E+0002  0.8350000000000000E+0002
