 SUMMARY FOR UNIT  62
 Time                      新风机能耗/kWh            送风机能耗/kWh            冷冻水泵能耗/kWh          冷却水泵能耗/kWh          冷水机组能耗/kWh          冷却塔能耗/kWh            系统总能耗/kWh
  0.2232000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.1079999920093333E+0003  0.1352999899891667E+0003  0.1294306197562312E+0003  0.5550000000000000E+0002  0.4282306017547311E+0003
  0.2256000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.2159999840186666E+0003  0.2705999799783334E+0003  0.3216744140599673E+0003  0.1110000000000000E+0003  0.9192743780569672E+0003
  0.2280000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.3239999760279999E+0003  0.4058999699675000E+0003  0.7783512084726057E+0003  0.1665000000000000E+0003  0.1674751154468106E+0004
  0.2304000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.3599999733644444E+0003  0.4509999666305555E+0003  0.1770107735775481E+0004  0.1850000000000000E+0003  0.2766107675770480E+0004
  0.2328000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.2078999846173249E+0003  0.2132999842177750E+0003  0.2513794129163940E+0003  0.9900000000000000E+0002  0.7715793817514940E+0003
  0.2352000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.2078999846173249E+0003  0.2132999842177750E+0003  0.2277964059685493E+0003  0.9900000000000000E+0002  0.7479963748036492E+0003
  0.2376000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.3599999733644444E+0003  0.4509999666305555E+0003  0.1669054651012372E+0004  0.1850000000000000E+0003  0.2665054591007372E+0004
  0.2400000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.3599999733644444E+0003  0.4509999666305555E+0003  0.1986797030524026E+0004  0.1850000000000000E+0003  0.2982796970519026E+0004
  0.2424000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.6839999493924443E+0003  0.8568999365980555E+0003  0.3398440188648425E+0004  0.3515000000000000E+0003  0.5290840074638924E+0004
  0.2448000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.6839999493924443E+0003  0.8568999365980555E+0003  0.3858611043522920E+0004  0.3515000000000000E+0003  0.5751010929513420E+0004
  0.2472000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.6839999493924443E+0003  0.8568999365980555E+0003  0.3946919357830951E+0004  0.3515000000000000E+0003  0.5839319243821451E+0004
  0.2496000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.2309999829081388E+0003  0.2369999824641945E+0003  0.3985980613767730E+0003  0.1100000000000000E+0003  0.9765980267491062E+0003
  0.2520000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.2309999829081388E+0003  0.2369999824641945E+0003  0.3469180331167445E+0003  0.1100000000000000E+0003  0.9249179984890778E+0003
  0.2544000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.3599999733644444E+0003  0.4509999666305555E+0003  0.1321419827971670E+0004  0.1850000000000000E+0003  0.2317419767966669E+0004
  0.2568000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.3239999760279999E+0003  0.4058999699675000E+0003  0.9678037891508138E+0003  0.1665000000000000E+0003  0.1864203735146314E+0004
  0.2592000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.3599999733644444E+0003  0.4509999666305555E+0003  0.7033878774379102E+0003  0.1850000000000000E+0003  0.1699387817432910E+0004
  0.2616000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.2879999786915555E+0003  0.3607999733044444E+0003  0.4646385469992962E+0003  0.1480000000000000E+0003  0.1261438498995296E+0004
